language,family,condition,group,trial,loss,delta_vs_baseline
english,Indo-European,baseline,,,2.619581699371338,0.0
english,Indo-European,targeted,Indo-Aryan,,2.819566011428833,0.19998431205749512
english,Indo-European,targeted,Dravidian,,2.7433106899261475,0.12372899055480957
english,Indo-European,targeted,Indo-European,,2.8330202102661133,0.2134385108947754
english,Indo-European,random_control,,0.0,2.7640113830566406,0.14442968368530273
english,Indo-European,random_control,,1.0,2.781045436859131,0.16146373748779297
english,Indo-European,random_control,,2.0,2.787646770477295,0.16806507110595703
english,Indo-European,random_control,,3.0,2.7809340953826904,0.16135239601135254
english,Indo-European,random_control,,4.0,2.78668475151062,0.16710305213928223
english,Indo-European,random_control,,5.0,2.773008108139038,0.1534264087677002
english,Indo-European,random_control,,6.0,2.80439829826355,0.18481659889221191
english,Indo-European,random_control,,7.0,2.7586669921875,0.1390852928161621
english,Indo-European,random_control,,8.0,2.77744722366333,0.1578655242919922
english,Indo-European,random_control,,9.0,2.7818267345428467,0.1622450351715088
hindi,Indo-Aryan,baseline,,,1.1432658433914185,0.0
hindi,Indo-Aryan,targeted,Indo-Aryan,,2.441002130508423,1.2977362871170044
hindi,Indo-Aryan,targeted,Dravidian,,1.5430097579956055,0.399743914604187
hindi,Indo-Aryan,targeted,Indo-European,,1.155084490776062,0.011818647384643555
hindi,Indo-Aryan,random_control,,0.0,1.4505013227462769,0.3072354793548584
hindi,Indo-Aryan,random_control,,1.0,1.430316686630249,0.28705084323883057
hindi,Indo-Aryan,random_control,,2.0,1.4369980096817017,0.2937321662902832
hindi,Indo-Aryan,random_control,,3.0,1.403163194656372,0.2598973512649536
hindi,Indo-Aryan,random_control,,4.0,1.4009727239608765,0.257706880569458
hindi,Indo-Aryan,random_control,,5.0,1.3890372514724731,0.2457714080810547
hindi,Indo-Aryan,random_control,,6.0,1.350254774093628,0.20698893070220947
hindi,Indo-Aryan,random_control,,7.0,1.6747627258300781,0.5314968824386597
hindi,Indo-Aryan,random_control,,8.0,1.2225323915481567,0.07926654815673828
hindi,Indo-Aryan,random_control,,9.0,1.43515944480896,0.2918936014175415
marathi,Indo-Aryan,baseline,,,1.3479543924331665,0.0
marathi,Indo-Aryan,targeted,Indo-Aryan,,2.7321982383728027,1.3842438459396362
marathi,Indo-Aryan,targeted,Dravidian,,1.802633285522461,0.45467889308929443
marathi,Indo-Aryan,targeted,Indo-European,,1.3525760173797607,0.004621624946594238
marathi,Indo-Aryan,random_control,,0.0,1.8123060464859009,0.4643516540527344
marathi,Indo-Aryan,random_control,,1.0,1.703862190246582,0.3559077978134155
marathi,Indo-Aryan,random_control,,2.0,1.6736788749694824,0.3257244825363159
marathi,Indo-Aryan,random_control,,3.0,1.6473742723464966,0.2994198799133301
marathi,Indo-Aryan,random_control,,4.0,1.764786720275879,0.4168323278427124
marathi,Indo-Aryan,random_control,,5.0,1.5874145030975342,0.23946011066436768
marathi,Indo-Aryan,random_control,,6.0,1.634903073310852,0.28694868087768555
marathi,Indo-Aryan,random_control,,7.0,2.084897041320801,0.7369426488876343
marathi,Indo-Aryan,random_control,,8.0,1.4353857040405273,0.08743131160736084
marathi,Indo-Aryan,random_control,,9.0,1.6697558164596558,0.32180142402648926
bengali,Indo-Aryan,baseline,,,0.9673557281494141,0.0
bengali,Indo-Aryan,targeted,Indo-Aryan,,1.8621835708618164,0.8948278427124023
bengali,Indo-Aryan,targeted,Dravidian,,1.421569585800171,0.45421385765075684
bengali,Indo-Aryan,targeted,Indo-European,,0.9609952569007874,-0.006360471248626709
bengali,Indo-Aryan,random_control,,0.0,1.215719223022461,0.24836349487304688
bengali,Indo-Aryan,random_control,,1.0,1.2246508598327637,0.2572951316833496
bengali,Indo-Aryan,random_control,,2.0,1.482767939567566,0.5154122114181519
bengali,Indo-Aryan,random_control,,3.0,1.1888219118118286,0.22146618366241455
bengali,Indo-Aryan,random_control,,4.0,1.1794120073318481,0.21205627918243408
bengali,Indo-Aryan,random_control,,5.0,1.4001127481460571,0.43275701999664307
bengali,Indo-Aryan,random_control,,6.0,1.2355103492736816,0.2681546211242676
bengali,Indo-Aryan,random_control,,7.0,1.5532652139663696,0.5859094858169556
bengali,Indo-Aryan,random_control,,8.0,1.0560228824615479,0.08866715431213379
bengali,Indo-Aryan,random_control,,9.0,1.409407615661621,0.44205188751220703
gujarati,Indo-Aryan,baseline,,,1.058998703956604,0.0
gujarati,Indo-Aryan,targeted,Indo-Aryan,,1.9073995351791382,0.8484008312225342
gujarati,Indo-Aryan,targeted,Dravidian,,1.3973829746246338,0.3383842706680298
gujarati,Indo-Aryan,targeted,Indo-European,,1.068205714225769,0.009207010269165039
gujarati,Indo-Aryan,random_control,,0.0,1.3192931413650513,0.26029443740844727
gujarati,Indo-Aryan,random_control,,1.0,1.2628225088119507,0.20382380485534668
gujarati,Indo-Aryan,random_control,,2.0,1.4255152940750122,0.3665165901184082
gujarati,Indo-Aryan,random_control,,3.0,1.3284132480621338,0.2694145441055298
gujarati,Indo-Aryan,random_control,,4.0,1.2836834192276,0.2246847152709961
gujarati,Indo-Aryan,random_control,,5.0,1.3566467761993408,0.2976480722427368
gujarati,Indo-Aryan,random_control,,6.0,1.2964859008789062,0.23748719692230225
gujarati,Indo-Aryan,random_control,,7.0,1.5530636310577393,0.49406492710113525
gujarati,Indo-Aryan,random_control,,8.0,1.107873558998108,0.048874855041503906
gujarati,Indo-Aryan,random_control,,9.0,1.4149059057235718,0.3559072017669678
punjabi,Indo-Aryan,baseline,,,0.802484393119812,0.0
punjabi,Indo-Aryan,targeted,Indo-Aryan,,1.765166997909546,0.9626826047897339
punjabi,Indo-Aryan,targeted,Dravidian,,1.158847451210022,0.35636305809020996
punjabi,Indo-Aryan,targeted,Indo-European,,0.8048927783966064,0.0024083852767944336
punjabi,Indo-Aryan,random_control,,0.0,1.0639528036117554,0.26146841049194336
punjabi,Indo-Aryan,random_control,,1.0,0.9683661460876465,0.16588175296783447
punjabi,Indo-Aryan,random_control,,2.0,1.1943241357803345,0.39183974266052246
punjabi,Indo-Aryan,random_control,,3.0,1.0325868129730225,0.23010241985321045
punjabi,Indo-Aryan,random_control,,4.0,1.0166927576065063,0.21420836448669434
punjabi,Indo-Aryan,random_control,,5.0,1.0853103399276733,0.28282594680786133
punjabi,Indo-Aryan,random_control,,6.0,0.9975283741950989,0.19504398107528687
punjabi,Indo-Aryan,random_control,,7.0,1.3816434144973755,0.5791590213775635
punjabi,Indo-Aryan,random_control,,8.0,0.8624722957611084,0.05998790264129639
punjabi,Indo-Aryan,random_control,,9.0,1.122695803642273,0.32021141052246094
urdu,Indo-Aryan,baseline,,,1.5645217895507812,0.0
urdu,Indo-Aryan,targeted,Indo-Aryan,,3.0168323516845703,1.452310562133789
urdu,Indo-Aryan,targeted,Dravidian,,1.9436678886413574,0.37914609909057617
urdu,Indo-Aryan,targeted,Indo-European,,1.5724421739578247,0.007920384407043457
urdu,Indo-Aryan,random_control,,0.0,1.8876936435699463,0.32317185401916504
urdu,Indo-Aryan,random_control,,1.0,1.8681448698043823,0.3036230802536011
urdu,Indo-Aryan,random_control,,2.0,1.8350273370742798,0.27050554752349854
urdu,Indo-Aryan,random_control,,3.0,1.8670601844787598,0.3025383949279785
urdu,Indo-Aryan,random_control,,4.0,1.884464979171753,0.3199431896209717
urdu,Indo-Aryan,random_control,,5.0,1.9338152408599854,0.3692934513092041
urdu,Indo-Aryan,random_control,,6.0,1.8517121076583862,0.287190318107605
urdu,Indo-Aryan,random_control,,7.0,2.3892738819122314,0.8247520923614502
urdu,Indo-Aryan,random_control,,8.0,1.6788735389709473,0.11435174942016602
urdu,Indo-Aryan,random_control,,9.0,1.7736530303955078,0.20913124084472656
tamil,Dravidian,baseline,,,0.9324281215667725,0.0
tamil,Dravidian,targeted,Indo-Aryan,,1.678800106048584,0.7463719844818115
tamil,Dravidian,targeted,Dravidian,,1.314570426940918,0.3821423053741455
tamil,Dravidian,targeted,Indo-European,,0.9360703229904175,0.0036422014236450195
tamil,Dravidian,random_control,,0.0,1.1507887840270996,0.21836066246032715
tamil,Dravidian,random_control,,1.0,1.1165013313293457,0.18407320976257324
tamil,Dravidian,random_control,,2.0,1.3150438070297241,0.38261568546295166
tamil,Dravidian,random_control,,3.0,1.141048789024353,0.20862066745758057
tamil,Dravidian,random_control,,4.0,1.1258575916290283,0.19342947006225586
tamil,Dravidian,random_control,,5.0,1.2766358852386475,0.344207763671875
tamil,Dravidian,random_control,,6.0,1.275445818901062,0.34301769733428955
tamil,Dravidian,random_control,,7.0,1.4112532138824463,0.47882509231567383
tamil,Dravidian,random_control,,8.0,0.9980528950691223,0.06562477350234985
tamil,Dravidian,random_control,,9.0,1.3562406301498413,0.42381250858306885
telugu,Dravidian,baseline,,,0.9735864996910095,0.0
telugu,Dravidian,targeted,Indo-Aryan,,1.9593504667282104,0.9857639670372009
telugu,Dravidian,targeted,Dravidian,,1.4183053970336914,0.4447188973426819
telugu,Dravidian,targeted,Indo-European,,0.974455714225769,0.0008692145347595215
telugu,Dravidian,random_control,,0.0,1.2416325807571411,0.2680460810661316
telugu,Dravidian,random_control,,1.0,1.2408393621444702,0.2672528624534607
telugu,Dravidian,random_control,,2.0,1.4318281412124634,0.45824164152145386
telugu,Dravidian,random_control,,3.0,1.2155193090438843,0.24193280935287476
telugu,Dravidian,random_control,,4.0,1.2481260299682617,0.2745395302772522
telugu,Dravidian,random_control,,5.0,1.3842042684555054,0.41061776876449585
telugu,Dravidian,random_control,,6.0,1.2789106369018555,0.30532413721084595
telugu,Dravidian,random_control,,7.0,1.4937410354614258,0.5201545357704163
telugu,Dravidian,random_control,,8.0,1.0726336240768433,0.09904712438583374
telugu,Dravidian,random_control,,9.0,1.3866945505142212,0.41310805082321167
malayalam,Dravidian,baseline,,,0.8533627390861511,0.0
malayalam,Dravidian,targeted,Indo-Aryan,,1.7110264301300049,0.8576636910438538
malayalam,Dravidian,targeted,Dravidian,,1.3610858917236328,0.5077231526374817
malayalam,Dravidian,targeted,Indo-European,,0.8639059662818909,0.010543227195739746
malayalam,Dravidian,random_control,,0.0,1.092678189277649,0.2393154501914978
malayalam,Dravidian,random_control,,1.0,1.09844172000885,0.24507898092269897
malayalam,Dravidian,random_control,,2.0,1.2817115783691406,0.4283488392829895
malayalam,Dravidian,random_control,,3.0,1.039568305015564,0.18620556592941284
malayalam,Dravidian,random_control,,4.0,1.080007553100586,0.22664481401443481
malayalam,Dravidian,random_control,,5.0,1.2799005508422852,0.42653781175613403
malayalam,Dravidian,random_control,,6.0,1.1801267862319946,0.3267640471458435
malayalam,Dravidian,random_control,,7.0,1.342674970626831,0.48931223154067993
malayalam,Dravidian,random_control,,8.0,0.9047746658325195,0.05141192674636841
malayalam,Dravidian,random_control,,9.0,1.2324756383895874,0.3791128993034363
kannada,Dravidian,baseline,,,0.8497785925865173,0.0
kannada,Dravidian,targeted,Indo-Aryan,,1.6174688339233398,0.7676902413368225
kannada,Dravidian,targeted,Dravidian,,1.2327419519424438,0.3829633593559265
kannada,Dravidian,targeted,Indo-European,,0.8512428998947144,0.0014643073081970215
kannada,Dravidian,random_control,,0.0,1.033334732055664,0.18355613946914673
kannada,Dravidian,random_control,,1.0,1.0957231521606445,0.2459445595741272
kannada,Dravidian,random_control,,2.0,1.2803375720977783,0.430558979511261
kannada,Dravidian,random_control,,3.0,1.0807985067367554,0.23101991415023804
kannada,Dravidian,random_control,,4.0,1.0280508995056152,0.1782723069190979
kannada,Dravidian,random_control,,5.0,1.2838553190231323,0.434076726436615
kannada,Dravidian,random_control,,6.0,1.0800281763076782,0.2302495837211609
kannada,Dravidian,random_control,,7.0,1.4133849143981934,0.563606321811676
kannada,Dravidian,random_control,,8.0,0.9107069373130798,0.0609283447265625
kannada,Dravidian,random_control,,9.0,1.1710211038589478,0.3212425112724304
